22:44:03 | CLIENT | SENT | DATA | 0 | CLIENT | RELAY1 |
22:44:03 | RELAY1 | DROP | DATA | 0 | SERVER | CLIENT |
22:44:03 | CLIENT | SENT | DATA | 100 | CLIENT | RELAY1 |
22:44:03 | CLIENT | SENT | DATA | 200 | CLIENT | RELAY1 |
22:44:03 | CLIENT | SENT | DATA | 300 | CLIENT | RELAY1 |
22:44:03 | RELAY2 | TIMEOUT | DATA | 100 | SERVER | CLIENT |
22:44:04 | RELAY1 | DROP | DATA | 0 | CLIENT | SERVER |
22:44:04 | RELAY2 | TIMEOUT | DATA | 100 | CLIENT | SERVER |
22:44:04 | SERVER | RCVD | DATA | 0 | SERVER | RELAY1 |
22:44:04 | SERVER | RCVD | ACK | 0 | SERVER | RELAY2 |
22:44:04 | SERVER | RCVD | DATA | 100 | SERVER | RELAY1 |
22:44:04 | RELAY1 | DROP | ACK | 0 | SERVER | CLIENT |
22:44:04 | RELAY1 | DROP | DATA | 0 | SERVER | CLIENT |
22:44:04 | SERVER | RCVD | ACK | 100 | SERVER | RELAY2 |
22:44:04 | RELAY2 | TIMEOUT | ACK | 100 | SERVER | CLIENT |
22:44:04 | RELAY1 | DROP | DATA | 200 | SERVER | CLIENT |
22:44:04 | CLIENT | SENT | ACK | 0 | RELAY1 | CLIENT |
22:44:04 | RELAY2 | TIMEOUT | DATA | 100 | SERVER | CLIENT |
22:44:04 | RELAY2 | TIMEOUT | DATA | 300 | SERVER | CLIENT |
22:44:04 | CLIENT | SENT | ACK | 100 | RELAY1 | CLIENT |
22:44:05 | RELAY2 | TIMEOUT | DATA | 300 | CLIENT | SERVER |
22:44:05 | RELAY1 | DROP | DATA | 200 | CLIENT | SERVER |
22:44:05 | SERVER | RCVD | DATA | 200 | SERVER | RELAY1 |
22:44:05 | SERVER | RCVD | ACK | 200 | SERVER | RELAY2 |
22:44:05 | RELAY1 | DROP | ACK | 200 | SERVER | CLIENT |
22:44:05 | SERVER | RCVD | DATA | 300 | SERVER | RELAY1 |
22:44:05 | RELAY1 | DROP | DATA | 200 | SERVER | CLIENT |
22:44:05 | CLIENT | SENT | ACK | 200 | RELAY1 | CLIENT |
22:44:05 | SERVER | RCVD | ACK | 300 | SERVER | RELAY2 |
22:44:05 | RELAY2 | TIMEOUT | ACK | 300 | SERVER | CLIENT |
22:44:05 | RELAY2 | TIMEOUT | DATA | 300 | SERVER | CLIENT |
22:44:05 | CLIENT | SENT | ACK | 300 | RELAY1 | CLIENT |
22:44:05 | CLIENT | SENT | DATA | 400 | CLIENT | RELAY1 |
22:44:05 | RELAY1 | DROP | DATA | 400 | SERVER | CLIENT |
22:44:06 | RELAY1 | DROP | DATA | 400 | CLIENT | SERVER |
22:44:06 | SERVER | RCVD | DATA | 400 | SERVER | RELAY1 |
22:44:06 | SERVER | RCVD | ACK | 400 | SERVER | RELAY2 |
22:44:06 | RELAY1 | DROP | ACK | 400 | SERVER | CLIENT |
22:44:06 | RELAY1 | DROP | DATA | 400 | SERVER | CLIENT |
22:44:06 | CLIENT | SENT | ACK | 400 | RELAY1 | CLIENT |
22:44:11 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:44:16 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:44:21 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:44:26 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:44:31 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:44:36 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:44:41 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:44:46 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:44:51 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:44:56 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:45:01 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:45:06 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:45:11 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:45:16 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:45:21 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:45:26 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:45:31 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:45:36 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:45:41 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:45:46 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:45:51 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:45:56 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:46:01 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:46:06 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:46:11 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:46:16 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:46:21 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:46:26 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:46:31 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:46:36 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:46:41 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:46:46 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:46:51 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:46:56 | CLIENT | SENT | DATA | 500 | CLIENT | RELAY1 |
22:47:04 | CLIENT | SENT | DATA | 0 | CLIENT | RELAY1 |
22:47:04 | CLIENT | SENT | DATA | 100 | CLIENT | RELAY1 |
22:47:04 | RELAY1 | DROP | DATA | 0 | SERVER | CLIENT |
22:47:04 | CLIENT | SENT | DATA | 200 | CLIENT | RELAY1 |
22:47:04 | CLIENT | SENT | DATA | 300 | CLIENT | RELAY1 |
22:47:04 | RELAY2 | TIMEOUT | DATA | 100 | SERVER | CLIENT |
22:47:05 | RELAY1 | DROP | DATA | 0 | CLIENT | SERVER |
22:47:05 | RELAY2 | TIMEOUT | DATA | 100 | CLIENT | SERVER |
22:47:05 | SERVER | RCVD | DATA | 100 | SERVER | RELAY1 |
22:47:05 | SERVER | RCVD | ACK | 100 | SERVER | RELAY2 |
22:47:05 | SERVER | RCVD | DATA | 0 | SERVER | RELAY1 |
22:47:05 | SERVER | RCVD | ACK | 0 | SERVER | RELAY2 |
22:47:05 | RELAY1 | DROP | ACK | 0 | SERVER | CLIENT |
22:47:05 | RELAY2 | TIMEOUT | ACK | 100 | SERVER | CLIENT |
22:47:05 | RELAY1 | DROP | DATA | 0 | SERVER | CLIENT |
22:47:05 | RELAY2 | TIMEOUT | DATA | 100 | SERVER | CLIENT |
22:47:05 | RELAY1 | DROP | DATA | 200 | SERVER | CLIENT |
22:47:05 | CLIENT | SENT | ACK | 0 | RELAY1 | CLIENT |
